datetime,predicted,actual,predicted_smoothed
2025-04-06 00:00:00,410.9758,753.1,410.9758
2025-04-06 00:05:00,490.53903,746.05,430.8666
2025-04-06 00:10:00,494.79,651.5,446.84747
2025-04-06 00:15:00,551.3481,681.2,466.22385
2025-04-06 00:20:00,445.9775,689.4,466.22385
2025-04-06 00:25:00,521.0085,647.5,466.22385
2025-04-06 00:30:00,393.52512,653.0,466.22385
2025-04-06 00:35:00,601.76227,681.2,494.18152
2025-04-06 00:40:00,584.2032,679.0,505.3625
2025-04-06 00:45:00,471.38913,940.6666666666666,505.3625
2025-04-06 00:50:00,599.9216,1342.4333333333334,529.00226
2025-04-06 00:55:00,814.35614,1372.0500000000002,600.3407
2025-04-06 01:00:00,1049.5717,1265.6,712.64844
2025-04-06 01:05:00,1160.3,1292.25,785.6035
2025-04-06 01:10:00,736.32135,676.8,785.6035
2025-04-06 01:15:00,734.9101,672.3,785.6035
2025-04-06 01:20:00,832.5201,662.5,797.33264
2025-04-06 01:25:00,834.84406,656.2,805.31494
2025-04-06 01:30:00,801.1281,664.3,805.31494
2025-04-06 01:35:00,1767.6119,734.5,855.77094
2025-04-06 01:40:00,601.5472,756.1,855.77094
2025-04-06 01:45:00,618.6728,735.75,855.77094
2025-04-06 01:50:00,585.49445,659.5,788.2018
2025-04-06 01:55:00,518.6032,699.75,720.8021
2025-04-06 02:00:00,718.1114,641.7,720.12946
2025-04-06 02:05:00,605.78156,649.0,715.9895
2025-04-06 02:10:00,671.42413,647.9,715.9895
2025-04-06 02:15:00,804.4195,648.3,715.9895
2025-04-06 02:20:00,616.94244,1111.1666666666667,691.2277
2025-04-06 02:25:00,650.2646,746.75,680.98694
2025-04-06 02:30:00,621.3049,725.2,666.0664
2025-04-06 02:35:00,598.972,654.45,649.48254
2025-04-06 02:40:00,650.0517,659.5,649.48254
2025-04-06 02:45:00,597.0013,645.6,649.48254
2025-04-06 02:50:00,792.2381,657.6,675.3312
2025-04-06 02:55:00,792.3144,694.3,704.57697
2025-04-06 03:00:00,989.41595,651.3,747.43835
2025-04-06 03:05:00,698.1601,670.7,747.43835
2025-04-06 03:10:00,720.61334,790.15,747.43835
2025-04-06 03:15:00,672.3431,778.05,734.8026
2025-04-06 03:20:00,733.7349,722.2,734.8026
2025-04-06 03:25:00,749.414,659.0,734.8026
2025-04-06 03:30:00,905.47296,656.3,734.8026
