datetime,predicted,actual,predicted_smoothed
2025-04-08 00:00:00,386.63376,667.55,386.63376
2025-04-08 00:05:00,451.31247,666.3,399.56952
2025-04-08 00:10:00,426.44162,650.6,399.56952
2025-04-08 00:15:00,285.8818,675.1,399.56952
2025-04-08 00:20:00,487.70676,636.4,402.4466
2025-04-08 00:25:00,529.435,662.95,425.73257
2025-04-08 00:30:00,550.9111,662.3,425.73257
2025-04-08 00:35:00,318.83224,720.1,425.73257
2025-04-08 00:40:00,373.36618,726.1,415.2593
2025-04-08 00:45:00,276.4543,659.0,387.49832
2025-04-08 00:50:00,348.32004,636.3,379.66266
2025-04-08 00:55:00,243.81929,658.25,370.5527
2025-04-08 01:00:00,343.8359,682.7,370.5527
2025-04-08 01:05:00,449.71384,640.45,370.5527
2025-04-08 01:10:00,524.8913,659.5,401.42044
2025-04-08 01:15:00,520.48456,647.6,425.23328
2025-04-08 01:20:00,604.1232,730.5666666666666,440.8791
2025-04-08 01:25:00,426.37155,722.2,440.8791
2025-04-08 01:30:00,388.06198,728.55,440.8791
2025-04-08 01:35:00,500.82883,650.4,452.86905
2025-04-08 01:40:00,749.76666,662.7,504.97955
2025-04-08 01:45:00,475.9033,643.3,504.97955
2025-04-08 01:50:00,543.7885,662.3,512.74133
2025-04-08 01:55:00,613.4477,653.0,532.8826
2025-04-08 02:00:00,769.68756,695.6,580.24365
2025-04-08 02:05:00,789.55646,725.6,622.1062
2025-04-08 02:10:00,722.4853,708.3,639.94635
2025-04-08 02:15:00,631.0036,722.4,639.94635
2025-04-08 02:20:00,762.2808,664.25,659.8716
2025-04-08 02:25:00,641.70465,651.3,659.8716
2025-04-08 02:30:00,662.6281,678.1,660.4229
2025-04-08 02:35:00,706.26447,645.6,665.44763
2025-04-08 02:40:00,648.8731,637.3,665.44763
2025-04-08 02:45:00,845.415,649.6,701.4411
2025-04-08 02:50:00,766.3826,1015.3666666666668,714.42944
2025-04-08 02:55:00,1075.5853,714.45,753.98566
2025-04-08 03:00:00,695.25433,732.0,753.98566
2025-04-08 03:05:00,696.41046,638.4,753.98566
2025-04-08 03:10:00,659.40424,642.7,735.0694
2025-04-08 03:15:00,680.43317,644.6,724.1422
2025-04-08 03:20:00,668.1756,639.75,712.9489
2025-04-08 03:25:00,696.29974,665.3,712.9489
2025-04-08 03:30:00,695.13873,677.4666666666667,712.9489
2025-04-08 03:35:00,854.6823,684.9,736.3149
2025-04-08 03:40:00,746.7148,793.5,738.3949
