datetime,predicted,actual,predicted_smoothed
2025-04-08 00:00:00,386.67697,667.55,386.67697
2025-04-08 00:05:00,451.32077,666.3,399.60574
2025-04-08 00:10:00,426.43503,650.6,399.60574
2025-04-08 00:15:00,285.88303,675.1,399.60574
2025-04-08 00:20:00,487.74753,636.4,402.4726
2025-04-08 00:25:00,529.5168,662.95,425.76746
2025-04-08 00:30:00,550.9494,662.3,425.76746
2025-04-08 00:35:00,318.85715,720.1,425.76746
2025-04-08 00:40:00,373.4133,726.1,415.29663
2025-04-08 00:45:00,276.4597,659.0,387.52924
2025-04-08 00:50:00,348.29782,636.3,379.68295
2025-04-08 00:55:00,243.85323,658.25,370.58597
2025-04-08 01:00:00,343.92624,682.7,370.58597
2025-04-08 01:05:00,449.73434,640.45,370.58597
2025-04-08 01:10:00,524.9052,659.5,401.44983
2025-04-08 01:15:00,520.4748,647.6,425.25482
2025-04-08 01:20:00,604.2071,730.5666666666666,440.91544
2025-04-08 01:25:00,426.416,722.2,440.91544
2025-04-08 01:30:00,388.09958,728.55,440.91544
2025-04-08 01:35:00,500.87814,650.4,452.908
2025-04-08 01:40:00,749.84784,662.7,505.02484
2025-04-08 01:45:00,475.9404,643.3,505.02484
2025-04-08 01:50:00,543.7624,662.3,512.77234
2025-04-08 01:55:00,613.4754,653.0,532.91296
2025-04-08 02:00:00,769.70416,695.6,580.2712
2025-04-08 02:05:00,789.5524,725.6,622.12744
2025-04-08 02:10:00,722.4903,708.3,639.9605
2025-04-08 02:15:00,631.0025,722.4,639.9605
2025-04-08 02:20:00,762.238,664.25,659.8656
2025-04-08 02:25:00,641.6639,651.3,659.8656
2025-04-08 02:30:00,662.63934,678.1,660.42035
2025-04-08 02:35:00,706.33673,645.6,665.466
2025-04-08 02:40:00,648.91547,637.3,665.466
2025-04-08 02:45:00,845.4615,649.6,701.4651
2025-04-08 02:50:00,766.39923,1015.3666666666668,714.4519
2025-04-08 02:55:00,1075.644,714.45,754.01605
2025-04-08 03:00:00,695.2819,732.0,754.01605
2025-04-08 03:05:00,696.44574,638.4,754.01605
2025-04-08 03:10:00,659.4537,642.7,735.1036
2025-04-08 03:15:00,680.4666,644.6,724.1762
2025-04-08 03:20:00,668.206,639.75,712.9822
2025-04-08 03:25:00,696.3289,665.3,712.9822
2025-04-08 03:30:00,695.13995,677.4666666666667,712.9822
2025-04-08 03:35:00,854.7067,684.9,736.3407
2025-04-08 03:40:00,746.7575,793.5,738.4241
2025-04-08 03:45:00,760.86285,772.6,742.9118
2025-04-08 03:50:00,759.5268,727.9,742.9118
2025-04-08 03:55:00,746.4787,692.6,742.9118
2025-04-08 04:00:00,658.0518,670.85,739.061
2025-04-08 04:05:00,729.3632,678.85,739.061
2025-04-08 04:10:00,780.17535,691.0,739.061
2025-04-08 04:15:00,788.62787,692.6,745.8133
2025-04-08 04:20:00,733.169,688.0,745.8133
2025-04-08 04:25:00,1383.7236,751.4,804.61035
2025-04-08 04:30:00,743.11066,793.85,804.61035
2025-04-08 04:35:00,633.69806,743.4,804.61035
2025-04-08 04:40:00,574.0263,679.0,758.4935
2025-04-08 04:45:00,602.27594,679.2,727.25
2025-04-08 04:50:00,670.4732,678.2,715.89465
2025-04-08 04:55:00,671.0463,732.1500000000001,715.89465
2025-04-08 05:00:00,702.9295,687.2,715.89465
2025-04-08 05:05:00,847.2131,680.9,720.6501
2025-04-08 05:10:00,665.87726,674.65,720.6501
2025-04-08 05:15:00,1651.9261,757.8,804.05756
2025-04-08 05:20:00,824.5103,770.7,804.05756
2025-04-08 05:25:00,458.58273,739.0,804.05756
2025-04-08 05:30:00,554.4721,685.5,754.14044
2025-04-08 05:35:00,408.7773,723.05,685.0678
2025-04-08 05:40:00,493.76974,693.2,646.8082
2025-04-08 05:45:00,448.2573,690.4,607.098
2025-04-08 05:50:00,450.7087,681.9,607.098
2025-04-08 05:55:00,502.93625,687.7,607.098
2025-04-08 06:00:00,1462.6771,763.6,1011.96027
2025-04-08 06:05:00,503.50656,755.4,757.7334
2025-04-08 06:10:00,502.04807,758.8,629.89075
2025-04-08 06:15:00,494.94626,673.4,562.4185
2025-04-08 06:20:00,536.55585,676.3,549.4872
2025-04-08 06:25:00,404.90866,681.6,477.19794
2025-04-08 06:30:00,475.10202,699.7000000000002,476.14996
2025-04-08 06:35:00,586.4438,685.4,531.2969
2025-04-08 06:40:00,707.936,684.7,619.61646
2025-04-08 06:45:00,692.0881,680.5,655.8523
2025-04-08 06:50:00,885.28046,760.8,770.5664
2025-04-08 06:55:00,655.58966,746.4,713.078
2025-04-08 07:00:00,574.1993,714.75,643.6387
